2019.03.21 07:33:33 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2019.03.21 07:33:34 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2019.03.21 07:33:35 INFO  web[][o.e.p.PluginsService] no modules loaded
2019.03.21 07:33:35 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2019.03.21 07:33:35 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2019.03.21 07:33:35 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2019.03.21 07:33:37 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2019.03.21 07:33:37 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 7.7.0.23042 / 1dcac8b8de36b377a1810cc8f1c4c31744e12729
2019.03.21 07:33:37 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2019.03.21 07:33:37 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2019.03.21 07:33:37 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2019.03.21 07:33:38 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2019.03.21 07:33:39 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2019.03.21 07:33:39 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Git / 1.8.0.1574 / aec3dc8f5228aabd218e1cd31ac6e6515a43715d
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin JaCoCo / 1.0.1.143 / 65c55e41e32c114704fd597ccea91fc55becb4ec
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin LDAP / 2.2.0.608 / 79dc3fa4393a29667673c70182f3016288b548b7
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarC# / 7.11.0.8083 / 3783082180771634d564dcf54c28a9f345852b34
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarCSS / 1.0.3.724 / 3ad5232345519caed38a24c70fb77e91757833bf
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarFlex / 2.4.0.1222 / 68d9cb3b7daccbc4869c4f2b89d09218d26a0829
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarGo / 1.1.0.1612 / 1809c7be6d88396c0a1b8d597b1e9e0ed8d29730
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarHTML / 3.1.0.1615 / 4181edb5eff5605bec82dc0aa15ecd70eaa5857f
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJS / 5.1.1.7506 / 7537ba97d4de0e1dbc862ddff9fadaed8cc02127
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJava / 5.11.0.17289 / af4a10d32a35370facd63e239fd8d452d981798a
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarKotlin / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPHP / 3.0.0.4537 / 026dee08c29a3689ab1228552e14bfefda9ae57e
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPython / 1.13.0.2922 / e234b7c67bd6330f24ed876596f72068bf78e0d7
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarRuby / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarScala / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarTS / 1.9.0.3766 / 4a4080b78001a78d758d1d0fa0190fb9496b6f57
2019.03.21 07:33:39 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarVB / 7.11.0.8083 / 3783082180771634d564dcf54c28a9f345852b34
